Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.25,3,0.25,30,3,0.05,500,0.03309359687,0.14,
0.25,3,0.25,30,3,0.05,1000,0.1287083607,0.14,
0.25,3,0.25,30,3,0.05,1500,0.2936518785,0.14,
0.25,3,0.25,30,3,0.05,2000,0.5050466398,0.13,
0.25,3,0.25,30,3,0.05,2500,0.7579461654,0.13,
0.25,3,0.25,45,3,0.05,500,0.05996964596,0.37,
0.25,3,0.25,45,3,0.05,1000,0.2066873182,0.30,
0.25,3,0.25,45,3,0.05,1500,0.5168010653,0.36,
0.25,3,0.25,45,3,0.05,2000,0.9129573686,0.36,
0.25,3,0.25,45,3,0.05,2500,1.433500303,0.36,
0.25,3,0.25,60,3,0.05,500,0.03775195407,0.28,
0.25,3,0.25,60,3,0.05,1000,0.1530067279,0.30,
0.25,3,0.25,60,3,0.05,1500,0.3349431117,0.29,
0.25,3,0.25,60,3,0.05,2000,0.5957971469,0.30,
0.25,3,0.25,60,3,0.05,2500,0.9683298719,0.32,
0.25,3,0.75,30,3,0.05,500,0.08596232153,0.22,
0.25,3,0.75,30,3,0.05,1000,0.3551039135,0.24,
0.25,3,0.75,30,3,0.05,1500,0.8009747512,0.24,
0.25,3,0.75,30,3,0.05,2000,1.37637876,0.23,
0.125,2,0.75,30,3,0.05,2094.3951,0.1862227706,0.09,
0.125,3,0.75,30,3,0.05,2094.3951,1.603961724,0.23,
0.25,3,0.75,30,3,0.05,2500,2.207012216,0.24,
0.25,3,0.75,45,3,0.05,500,0.04854365517,0.12,
0.25,3,0.75,45,3,0.05,1000,0.1962878718,0.13,
0.25,3,0.75,45,3,0.05,1500,0.4523068572,0.14,
0.25,3,0.75,45,3,0.05,2000,0.7920879204,0.13,
0.25,3,0.75,45,3,0.05,2500,1.223228888,0.13,
0.25,3,0.75,60,3,0.05,500,0.001922453622,0.00,
0.25,3,0.75,60,3,0.05,1000,0.003385761959,0.00,
0.25,3,0.75,60,3,0.05,1500,0.01339900143,0.00,
0.25,3,0.75,60,3,0.05,2000,0.01301447402,0.00,
0.125,2,0.75,50,3,0.05,2094.3951,0.010931144,0.00,
0.125,3,0.75,50,3,0.05,2094.3951,0.8336437313,0.14,
0.25,3,0.75,60,3,0.05,2500,0.03191984955,0.00,
0.25,3,1.25,30,3,0.05,500,0.04015573808,0.05,
0.25,3,1.25,30,3,0.05,1000,0.1469345595,0.04,
0.25,3,1.25,30,3,0.05,1500,0.4345788976,0.06,
0.25,3,1.25,30,3,0.05,2000,0.8416018582,0.07,
0.25,3,1.25,30,3,0.05,2500,1.299049405,0.07,
0.25,3,1.25,45,3,0.05,500,0.001897285839,0.00,
0.25,3,1.25,45,3,0.05,1000,0.007366324762,0.00,
